Wall time,Step,Value
1731225463.8281796,22340,-143.36415100097656
1731225464.1640558,22354,-136.0282745361328
1731225464.7745256,22382,-142.06761169433594
1731225467.317572,22496,-135.87718200683594
1731225468.0941572,22531,-138.18087768554688
1731225468.8376136,22568,-136.6679229736328
1731225470.8017807,22659,-139.53036499023438
1731225473.615472,22789,-141.99327087402344
1731225475.1997447,22864,-134.8112335205078
1731225477.182414,22954,-139.36717224121094
1731225477.2374136,22957,-140.4122772216797
1731225480.3800402,23104,-137.626220703125
1731225480.4547987,23108,-136.30775451660156
1731225481.3805342,23151,-138.17459106445312
1731225481.5965667,23162,-144.22747802734375
1731225481.777324,23172,-139.84950256347656
1731225482.5666857,23206,-137.76451110839844
1731225482.758272,23216,-138.654052734375
1731225483.2984047,23242,-140.70513916015625
1731225484.2543347,23287,-137.92950439453125
1731225484.7483852,23310,-140.3181915283203
1731225485.8293054,23361,-135.24693298339844
1731225486.3421898,23385,-136.5023956298828
1731225486.7848845,23404,-137.0356903076172
1731225487.795,23451,-139.07411193847656
1731225490.1806662,23564,-137.91456604003906
1731225491.2261908,23613,-139.9371337890625
1731225492.933582,23694,-135.39671325683594
1731225493.2045276,23705,-137.37925720214844
1731225493.654591,23725,-137.06993103027344
1731225495.1206207,23798,-138.68109130859375
1731225496.3673337,23855,-140.4174346923828
1731225498.6350222,23962,-139.35488891601562
1731225501.689213,24103,-140.04945373535156
1731225502.4935005,24142,-138.14675903320312
1731225503.1312845,24171,-139.8230438232422
1731225504.9640503,24258,-139.45675659179688
1731225505.9807355,24306,-139.81222534179688
1731225506.2007513,24308,-137.9684295654297
1731225507.0039926,24346,-137.5755615234375
1731225507.496981,24369,-139.1372528076172
1731225509.0496323,24440,-141.26211547851562
1731225512.0681422,24581,-143.67271423339844
1731225513.3903012,24645,-142.0082244873047
1731225515.4851904,24743,-142.98599243164062
1731225515.721219,24751,-140.57789611816406
1731225518.9572802,24903,-139.76385498046875
1731225519.4309464,24925,-145.48048400878906
1731225520.1021585,24958,-140.51905822753906
1731225521.6565802,25032,-139.49948120117188
1731225522.428039,25071,-139.86837768554688
1731225524.3377635,25157,-137.93182373046875
1731225525.9104133,25230,-142.30374145507812
1731225526.4269645,25255,-138.9417724609375
1731225526.66799,25268,-139.39028930664062
1731225526.9125202,25277,-139.4712371826172
1731225528.615099,25356,-139.11077880859375
1731225529.8673503,25415,-142.96261596679688
1731225532.3012917,25529,-136.5403289794922
1731225532.568323,25544,-137.45008850097656
1731225534.2647936,25623,-136.32984924316406
1731225536.133102,25710,-136.2012939453125
1731225537.9954188,25799,-142.95921325683594
1731225538.8068578,25836,-140.4664306640625
1731225539.549111,25871,-139.70150756835938
1731225541.0945961,25945,-137.88169860839844
1731225543.7139382,26069,-138.11814880371094
1731225544.1646929,26090,-137.00985717773438
1731225544.326343,26099,-137.76751708984375
1731225544.7094557,26115,-139.60865783691406
1731225546.0962253,26178,-141.14425659179688
1731225546.1152253,26179,-137.46580505371094
1731225546.3623378,26193,-138.39346313476562
1731225548.9473252,26316,-140.8445587158203
1731225549.2101114,26327,-138.4762420654297
1731225551.3363757,26427,-136.1297149658203
1731225552.703428,26494,-138.58595275878906
1731225556.9380038,26694,-138.60714721679688
1731225559.6400526,26821,-137.39743041992188
1731225559.6600547,26822,-137.40939331054688
1731225560.3670993,26851,-138.93173217773438
1731225560.4026124,26853,-138.79835510253906
1731225562.4766226,26952,-136.3157958984375
1731225565.708171,27102,-137.30223083496094
1731225567.01872,27166,-140.45361328125
1731225567.121182,27172,-138.81622314453125
1731225567.2977703,27178,-138.62986755371094
1731225567.3752813,27182,-137.95144653320312
1731225567.3972836,27183,-135.9095916748047
1731225569.7994947,27298,-141.62989807128906
1731225571.0105233,27353,-138.8644561767578
1731225573.4751837,27473,-140.74493408203125
1731225574.7247765,27529,-139.4918212890625
1731225576.8588045,27627,-136.9193572998047
1731225577.0474193,27637,-140.48974609375
1731225577.1749294,27644,-134.96852111816406
1731225577.5802104,27662,-138.79995727539062
1731225578.7724755,27719,-137.36151123046875
1731225579.724659,27763,-141.89801025390625
1731225581.545627,27849,-139.1508026123047
1731225583.5079067,27940,-137.47509765625
1731225583.546417,27942,-139.1487274169922
1731225584.2164292,27974,-139.30880737304688
1731225584.6285942,27992,-142.3929901123047
1731225590.723773,28275,-140.8897705078125
1731225591.2892537,28301,-139.459716796875
1731225592.2099059,28345,-137.99685668945312
1731225593.4134774,28400,-138.36460876464844
1731225594.6974273,28462,-139.28988647460938
1731225595.0046387,28475,-140.69924926757812
1731225596.9185734,28567,-138.45477294921875
1731225597.5406516,28596,-137.5992431640625
1731225598.3745368,28635,-137.03741455078125
1731225604.3360856,28915,-141.75396728515625
1731225605.9847395,28994,-138.06109619140625
1731225606.531467,29020,-139.10647583007812
1731225607.0045712,29042,-139.33493041992188
1731225607.4255323,29061,-140.07470703125
